"STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","GEOID.1","hhincome"
"17","031","630200","17031630200","6302","Census Tract 6302","G5020","S","634189","0","+41.8027454","-087.6940453","17031630200",35707
"17","031","430400","17031430400","4304","Census Tract 4304","G5020","S","548003","0","+41.7621978","-087.5903116","17031430400",29583
"17","031","430600","17031430600","4306","Census Tract 4306","G5020","S","333359","0","+41.7644133","-087.5713730","17031430600",30493
"17","031","430800","17031430800","4308","Census Tract 4308","G5020","S","328071","0","+41.7607500","-087.5712983","17031430800",44286
"17","031","430500","17031430500","4305","Census Tract 4305","G5020","S","342833","0","+41.7643139","-087.5812700","17031430500",18432
"17","031","430900","17031430900","4309","Census Tract 4309","G5020","S","336518","0","+41.7606410","-087.5811851","17031430900",41908
"17","031","610300","17031610300","6103","Census Tract 6103","G5020","S","2383658","0","+41.8161779","-087.6751022","17031610300",33507
"17","031","681000","17031681000","6810","Census Tract 6810","G5020","S","652466","0","+41.7760398","-087.6495479","17031681000",16064
"17","031","681100","17031681100","6811","Census Tract 6811","G5020","S","652438","0","+41.7687665","-087.6493595","17031681100",21266
"17","031","680500","17031680500","6805","Census Tract 6805","G5020","S","326856","0","+41.7905639","-087.6523524","17031680500",23675
"17","031","803400","17031803400","8034","Census Tract 8034","G5020","S","3077021","0","+42.0745454","-087.9711873","17031803400",116667
"17","031","803500","17031803500","8035","Census Tract 8035","G5020","S","2951703","0","+42.0739284","-087.9940638","17031803500",105114
"17","031","803604","17031803604","8036.04","Census Tract 8036.04","G5020","S","2518649","0","+42.1298817","-088.0409769","17031803604",69417
"17","031","680900","17031680900","6809","Census Tract 6809","G5020","S","1032880","0","+41.7764305","-087.6376304","17031680900",17295
"17","031","803607","17031803607","8036.07","Census Tract 8036.07","G5020","S","2531009","50181","+42.1185514","-088.0155401","17031803607",109929
"17","031","809400","17031809400","8094","Census Tract 8094","G5020","S","1009703","1649008","+42.0447842","-087.6725221","17031809400",52283
"17","031","809500","17031809500","8095","Census Tract 8095","G5020","S","706468","0","+42.0464554","-087.6877279","17031809500",65685
"17","031","809600","17031809600","8096","Census Tract 8096","G5020","S","1300137","0","+42.0447451","-087.6999044","17031809600",90625
"17","031","809700","17031809700","8097","Census Tract 8097","G5020","S","1323074","0","+42.0374659","-087.6999151","17031809700",83036
"17","031","809800","17031809800","8098","Census Tract 8098","G5020","S","597774","0","+42.0375290","-087.6854990","17031809800",101364
"17","031","809900","17031809900","8099","Census Tract 8099","G5020","S","765551","0","+42.0376185","-087.6752631","17031809900",122083
"17","031","810000","17031810000","8100","Census Tract 8100","G5020","S","1109877","1422820","+42.0247367","-087.6693055","17031810000",90185
"17","031","825501","17031825501","8255.01","Census Tract 8255.01","G5020","S","6026985","0","+41.5784583","-087.7170864","17031825501",48975
"17","031","720100","17031720100","7201","Census Tract 7201","G5020","S","1965312","0","+41.7276164","-087.6747355","17031720100",152422
"17","031","824400","17031824400","8244","Census Tract 8244","G5020","S","3129445","0","+41.6399612","-087.7262117","17031824400",31694
"17","031","720200","17031720200","7202","Census Tract 7202","G5020","S","1672473","0","+41.7130417","-087.6660545","17031720200",73300
"17","031","720300","17031720300","7203","Census Tract 7203","G5020","S","1264753","0","+41.7139198","-087.6771439","17031720300",122727
"17","031","720400","17031720400","7204","Census Tract 7204","G5020","S","663284","0","+41.7099918","-087.6866686","17031720400",98281
"17","031","720500","17031720500","7205","Census Tract 7205","G5020","S","1042167","0","+41.7028353","-087.6891011","17031720500",119500
"17","031","720600","17031720600","7206","Census Tract 7206","G5020","S","582372","0","+41.7027764","-087.6772070","17031720600",110344
"17","031","720700","17031720700","7207","Census Tract 7207","G5020","S","1049859","0","+41.7031071","-087.6651388","17031720700",64656
"17","031","040600","17031040600","406","Census Tract 406","G5020","S","331259","0","+41.9668338","-087.6840181","17031040600",82383
"17","031","040700","17031040700","407","Census Tract 407","G5020","S","342084","15337","+41.9674314","-087.6940682","17031040700",76915
"17","031","040800","17031040800","408","Census Tract 408","G5020","S","217717","11487","+41.9639740","-087.6918213","17031040800",76809
"17","031","816900","17031816900","8169","Census Tract 8169","G5020","S","1470777","0","+41.8867810","-087.8906617","17031816900",61484
"17","031","817000","17031817000","8170","Census Tract 8170","G5020","S","2174406","0","+41.8873598","-087.8725082","17031817000",52200
"17","031","817101","17031817101","8171.01","Census Tract 8171.01","G5020","S","988837","0","+41.8762488","-087.8780999","17031817101",46234
"17","031","817102","17031817102","8171.02","Census Tract 8171.02","G5020","S","1542532","0","+41.8771915","-087.8657806","17031817102",63141
"17","031","825801","17031825801","8258.01","Census Tract 8258.01","G5020","S","2445029","192553","+41.6347618","-087.5729850","17031825801",44456
"17","031","825802","17031825802","8258.02","Census Tract 8258.02","G5020","S","1497069","0","+41.6263798","-087.5600589","17031825802",44242
"17","031","825803","17031825803","8258.03","Census Tract 8258.03","G5020","S","1746042","0","+41.6192450","-087.5620444","17031825803",47423
"17","031","825900","17031825900","8259","Census Tract 8259","G5020","S","1612665","0","+41.6216960","-087.5423651","17031825900",43587
"17","031","826000","17031826000","8260","Census Tract 8260","G5020","S","1956136","0","+41.6239154","-087.5324077","17031826000",45809
"17","031","380100","17031380100","3801","Census Tract 3801","G5020","S","438048","0","+41.8202019","-087.6100974","17031380100",17600
